date,campaign_name,channel,region,impressions,clicks,signups,transactions,transaction_amount,campaign_cost,active_users,payment_type,customer_segment
2025-01-01,App Signup Bonus,Google Ads,Dhaka,15875,398,116,88,89343.73,2529.22,16129,Send Money,New User
2025-01-02,App Signup Bonus,Facebook,Khulna,52883,1357,270,201,170701.35,8118.98,5991,Send Money,Existing User
2025-01-02,QR Payment Campaign,Push Notification,Sylhet,65197,5868,2212,1123,699979.74,1572.3,2102,Send Money,New User
2025-01-02,Ramadan Campaign,SMS,Sylhet,47889,1983,333,168,72073.77,2865.67,7346,Merchant Payment,New User
2025-01-03,Ramadan Campaign,Email,Rangpur,33157,1341,199,102,288220.95,903.09,23907,Mobile Recharge,Merchant
2025-01-03,Cashback Offer,Email,Barishal,49683,2546,380,235,181544.46,1854.49,19593,Mobile Recharge,Student
2025-01-03,App Signup Bonus,Facebook,Rajshahi,39224,2304,477,377,179608.9,7833.74,25660,Merchant Payment,Student
2025-01-03,Cashback Offer,Facebook,Mymensingh,19708,1102,292,160,159113.08,4070.47,20523,QR Payment,Premium User
2025-01-04,Merchant Payment Promo,YouTube,Dhaka,21852,1159,195,153,111776.45,6737.63,61134,Send Money,Existing User
2025-01-04,QR Payment Campaign,Google Ads,Rajshahi,5496,226,48,33,44315.07,1386.82,29854,Merchant Payment,New User
2025-01-04,Eid Offer,Google Ads,Khulna,46966,2496,300,186,526842.93,3317.91,10125,Bill Pay,Merchant
2025-01-04,Student Recharge Promo,Facebook,Barishal,53316,2399,505,374,366776.0,10818.23,6342,Bill Pay,Existing User
2025-01-04,Cashback Offer,YouTube,Rangpur,33125,1030,178,143,426271.98,7891.79,2065,Mobile Recharge,Premium User
2025-01-04,QR Payment Campaign,Push Notification,Rangpur,46938,4525,1275,1040,668088.95,2956.44,5050,Bill Pay,New User
2025-01-04,Cashback Offer,YouTube,Barishal,10995,184,24,19,47253.07,2918.0,9067,Send Money,Premium User
2025-01-04,Student Recharge Promo,Facebook,Dhaka,20643,364,46,37,90995.52,1479.93,13009,QR Payment,Merchant
2025-01-04,Student Recharge Promo,Facebook,Sylhet,43742,2856,849,764,1645441.28,5156.77,13313,Bill Pay,Merchant
2025-01-05,Merchant Payment Promo,Push Notification,Mymensingh,59160,5615,1826,1248,2071177.54,1563.78,21688,Send Money,Existing User
2025-01-05,Merchant Payment Promo,Email,Barishal,16400,348,54,23,17807.84,324.03,3402,Merchant Payment,New User
2025-01-05,Bill Pay Campaign,Push Notification,Mymensingh,12769,1023,335,259,549940.55,573.14,23764,Bill Pay,Merchant
2025-01-06,Bill Pay Campaign,Email,Mymensingh,13764,406,84,42,23858.71,492.68,20811,Merchant Payment,Student
2025-01-06,Ramadan Campaign,Facebook,Sylhet,66590,5197,1265,1057,2901536.5,6607.13,11775,Mobile Recharge,Merchant
2025-01-06,Eid Offer,Push Notification,Sylhet,17701,2065,626,324,455426.03,358.01,31916,Mobile Recharge,Existing User
2025-01-06,Eid Offer,Facebook,Dhaka,78663,7275,1730,735,1199699.78,15214.59,28870,QR Payment,New User
2025-01-06,Merchant Payment Promo,Push Notification,Rajshahi,28695,2299,761,458,227321.2,1241.2,12096,Bill Pay,Student
2025-01-06,App Signup Bonus,Email,Sylhet,37515,1607,190,109,182965.26,1554.94,22701,Mobile Recharge,Premium User
2025-01-07,Merchant Payment Promo,Push Notification,Rangpur,6377,556,182,88,40495.45,143.42,1563,Send Money,New User
2025-01-07,Merchant Payment Promo,SMS,Barishal,48981,4097,796,681,1657628.99,5076.51,15220,Send Money,Premium User
2025-01-07,App Signup Bonus,Google Ads,Barishal,42799,1267,247,223,189119.81,8060.76,12240,Mobile Recharge,Existing User
